Date, Monthly Rate of Return
01/1990,1.23%
02/1990,1.23%
03/1990,0.82%
04/1990,0.73%
05/1990,0.5%
06/1990,1.37%
07/1990,0.77%
08/1990,1.8%
09/1990,1.81%
10/1990,1.37%
11/1990,0.83%
12/1990,2.01%
01/1991,2.51%
02/1991,0.04%
03/1991,2.7%
04/1991,-0.01%
05/1991,-0.02%
06/1991,0.56%
07/1991,2.5%
08/1991,0.28%
09/1991,1.92%
10/1991,0.97%
11/1991,1.17%
12/1991,2.07%
01/1992,0.36%
02/1992,0.96%
03/1992,0.58%
04/1992,-0.03%
05/1992,0.11%
06/1992,0.62%
07/1992,1.24%
08/1992,-0.35%
09/1992,1.17%
10/1992,1.04%
11/1992,1.18%
12/1992,1.54%
01/1993,1.91%
02/1993,1.06%
03/1993,1.67%
04/1993,-0.14%
05/1993,0.58%
06/1993,2.37%
07/1993,0.63%
08/1993,0.91%
09/1993,2.44%
10/1993,-0.1%
11/1993,-1.45%
12/1993,0.77%
01/1994,0.78%
02/1994,0.58%
03/1994,0.44%
04/1994,0.92%
05/1994,-0.95%
06/1994,0.58%
07/1994,0.37%
08/1994,-0.35%
09/1994,0.02%
10/1994,-0.12%
11/1994,-0.45%
12/1994,0.82%
01/1995,0.22%
02/1995,1.42%
03/1995,1.77%
04/1995,1.86%
05/1995,0.6%
06/1995,0.92%
07/1995,2.23%
08/1995,0.98%
09/1995,1.85%
10/1995,1.58%
11/1995,0.78%
12/1995,1.03%
01/1996,2.18%
02/1996,0.95%
03/1996,0.86%
04/1996,0.35%
05/1996,1.39%
06/1996,1.37%
07/1996,1.62%
08/1996,0.78%
09/1996,0.66%
10/1996,2.1%
11/1996,0.16%
12/1996,0.95%
01/1997,1.2%
02/1997,0.12%
03/1997,0.43%
04/1997,0.96%
05/1997,1.49%
06/1997,1.54%
07/1997,2.17%
08/1997,0.21%
09/1997,2.18%
10/1997,1.36%
11/1997,0.53%
12/1997,0.67%
01/1998,0.54%
02/1998,0.76%
03/1998,1.26%
04/1998,0.66%
05/1998,0.48%
06/1998,1.69%
07/1998,-0.27%
08/1998,-1.67%
09/1998,0.81%
10/1998,-0.61%
11/1998,0.85%
12/1998,3.59%
01/1999,0.15%
02/1999,-1.33%
03/1999,-0.76%
04/1999,-0.65%
05/1999,0.17%
06/1999,2.02%
07/1999,1.91%
08/1999,0.7%
09/1999,0.85%
10/1999,0.44%
11/1999,1.05%
12/1999,2.39%
01/2000,-1.19%
02/2000,2.26%
03/2000,0.48%
04/2000,2.64%
05/2000,0.27%
06/2000,1.5%
07/2000,-0.04%
08/2000,3.06%
09/2000,0.94%
10/2000,0.23%
11/2000,1.03%
12/2000,2.58%
01/2001,-1.57%
02/2001,2.07%
03/2001,1.77%
04/2001,0.06%
05/2001,0.28%
06/2001,0.36%
07/2001,0.45%
08/2001,1.73%
09/2001,1.31%
10/2001,0.01%
11/2001,-0.36%
12/2001,0.46%
01/2002,0.76%
02/2002,-0.22%
03/2002,0.06%
04/2002,0.99%
05/2002,0.03%
06/2002,0.05%
07/2002,-0.27%
08/2002,0.53%
09/2002,-0.25%
10/2002,-0.29%
11/2002,-0.91%
12/2002,0.51%
01/2003,0.3%
02/2003,-0.18%
03/2003,-0.05%
04/2003,0.36%
05/2003,0.35%
06/2003,0.4%
07/2003,-0.44%
08/2003,0.13%
09/2003,0.6%
10/2003,1.06%
11/2003,0.2%
12/2003,-0.29%
01/2004,1.07%
02/2004,0.57%
03/2004,0.41%
04/2004,-1.15%
05/2004,0.35%
06/2004,0.38%
07/2004,0.18%
08/2004,-0.23%
09/2004,0.79%
10/2004,-0.01%
11/2004,1.31%
12/2004,0.43%
01/2005,0.64%
02/2005,1.16%
